id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_PM081,PM081,El Sábalo,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM082,PM082,Escuinapa,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM083,PM083,Teacapan,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM084,PM084,Guaymas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM085,PM085,Puerto Peñasco,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM086,PM086,Golfo de Santa Clara,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM087,PM087,Bahía Kino,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM088,PM088,Yavaros,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM089,PM089,Puerto Libertad,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM090,PM090,General Rodolfo Sánchez Toboada,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM091,PM091,San Carlos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM092,PM092,Dos Bocas,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM093,PM093,Frontera,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM094,PM094,Chiltepec,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM095,PM095,Sanchez Magallanes,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM096,PM096,Puerto Altamira,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM097,PM097,Puerto Tampico,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM098,PM098,Puerto Matamoros,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM099,PM099,La Pesca,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM100,PM100,Puerto de Veracruz,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM101,PM101,Tuxpan,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM102,PM102,Coatzacoalcos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM103,PM103,Pajaritos,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM104,PM104,Alvarado,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM105,PM105,Tlacotalpan,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM106,PM106,Nautla,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM107,PM107,Tecolutla,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM108,PM108,Puerto Progreso,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM109,PM109,Celestún,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM110,PM110,Sisal,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM111,PM111,Chuburná,México,,,cartaporte_clavetransporte_02
cfd_mx_traslado.cartaporte_estaciones_PM112,PM112,Yucalpetén,México,,,cartaporte_clavetransporte_02
