id,clave,name,description
cfd_mx_traslado.cartaporte_unidadpeso_GLI,GLI,Galón (UK),"Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquidos, principalmente la gasolina y su precio. Antiguamente, el volumen de un galón dependía de lo que se midiera, y dónde. Sin embargo, en el siglo XIX existían dos definiciones de uso común: ""galón de vino"" (wine gallon) y ""galón de cerveza británico"" (ale gallon).
Es equivalente a 3.7854 litros."
cfd_mx_traslado.cartaporte_unidadpeso_GLL,GLL,Galón (EUA),"Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquidos, principalmente la gasolina y su precio. Antiguamente, el volumen de un galón dependía de lo que se midiera, y dónde. Sin embargo, en el siglo XIX existían dos definiciones de uso común: ""galón de vino"" (wine gallon) y ""galón de cerveza británico"" (ale gallon)."
cfd_mx_traslado.cartaporte_unidadpeso_PT,PT,Pinta (US),Utilice pinta líquida (código común PTL)
cfd_mx_traslado.cartaporte_unidadpeso_PTI,PTI,Pint (uk),"Es una unidad de volumen inglesa en el sistema imperial y los Estados Unidos. La versión imperial usada en el UK es de 20 onzas líquidas y es equivalente a 568,26125 ml, mientras que en los EUA es de 16 onzas líquidas y es equivalente a 473,17647 ml."
cfd_mx_traslado.cartaporte_unidadpeso_QTI,QTI,Cuarto (UK),Es una unidad de medida de volumen equivalente a media fanega. En Castilla equivalía a aproximadamente a 6 celemines. La medida real cambia según regiones o incluso localidades.
cfd_mx_traslado.cartaporte_unidadpeso_PTL,PTL,Pinta líquida (estados unidos),
cfd_mx_traslado.cartaporte_unidadpeso_QTL,QTL,Cuarto de líquido (estadis unidos),
cfd_mx_traslado.cartaporte_unidadpeso_PTD,PTD,Pinta seca (estados unidos),
cfd_mx_traslado.cartaporte_unidadpeso_OZI,OZI,Onza líquida (UK),
cfd_mx_traslado.cartaporte_unidadpeso_QT,QT,Cuarto (EUA),Utilice cuarto de galón líquido (código común QTL)
cfd_mx_traslado.cartaporte_unidadpeso_J57,J57,Barril (uk petróleo),Es el nombre de varias unidades de volumen usadas en el Reino Unido y en los Estados Unidos.
cfd_mx_traslado.cartaporte_unidadpeso_K21,K21,Pie cúbico por grado fahrenheit,
cfd_mx_traslado.cartaporte_unidadpeso_K23,K23,Pie cúbico por psi (libra por pulgada cuadrada),
cfd_mx_traslado.cartaporte_unidadpeso_L43,L43,Peck (UK),"Un peck es una unidad tradicional de medida de volúmenes. Aunque puede ser utilizado para medir seco y líquido, se utiliza generalmente para las materias secas. Es igual a 1/4 bushel, 2 galones, o 8 cuartos de galón."
cfd_mx_traslado.cartaporte_unidadpeso_L61,L61,Pinta (US seco),Utilice pinta seca (código común PTD)
cfd_mx_traslado.cartaporte_unidadpeso_L62,L62,Cuarto de galón (seco de los EUA),Utilice cuarto seco (EUA) (código común QTD)
cfd_mx_traslado.cartaporte_unidadpeso_L84,L84,Tonelada (flota UK),
