id,clave,name
cfd_mx_traslado.cartaporte_materialpeligroso_M0064,M0064,"GUANILNITROSAMINO- GUANILTETRACENO (TETRACENO) HUMEDECIDO con un mínimo del 30 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0065,M0065,"HEXOLITA (HEXOTOL) seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0066,M0066,INFLAMADORES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0067,M0067,"DISPOSITIVOS PORTADORES DE CARGAS HUECAS, CARGADOS, para perforación de pozos de petróleo, sin detonador (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0068,M0068,"AZIDA DE PLOMO HUMEDECIDA con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0069,M0069,"ESTIFNATO DE PLOMO (TRINITRORRESORCINATO DE PLOMO) HUMEDECIDO con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0070,M0070,INICIADOR PARA MECHAS DE SEGURIDAD (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0071,M0071,"SALES METÁLICAS DEFLAGRANTES DE DERIVADOS NITRADOS AROMÁTICOS, N.E.P. (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0072,M0072,"HEXANITRATO DE MANITOL (NITROMANITA) HUMEDECIDO con un mínimo del 40 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0073,M0073,"FULMINATO DE MERCURIO HUMEDECIDO con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0074,M0074,MINAS con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0075,M0075,MINAS con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0076,M0076,MINAS con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0077,M0077,"NITROGLICERINA DESENSIBILIZADA con un mínimo del 40 %, en masa, de flemador no volátil insoluble en agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0078,M0078,NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA con más del 1 % pero no más del 10 % de nitroglicerina (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0079,M0079,"NITROALMIDÓN seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0080,M0080,NITROUREA (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0081,M0081,"TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE) HUMEDECIDO con un mínimo del 25 %, en masa, de agua, o TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE) DESENSIBILIZADO con un mínimo del 15 %, en masa, de flemador (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0082,M0082,"PENTOLITA seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0083,M0083,TRINITROANILINA (PICRAMIDA) (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0084,M0084,"TRINITROFENOL (ÁCIDO PÍCRICO) seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0085,M0085,TRINITROCLOROBENCENO (CLORURO DE PICRILO) (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0086,M0086,"GALLETA DE PÓLVORA HUMEDECIDA con un mínimo del 25 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0087,M0087,PÓLVORA SIN HUMO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0088,M0088,PÓLVORA SIN HUMO (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0089,M0089,PROYECTILES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0090,M0090,PROYECTILES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0091,M0091,PROYECTILES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0092,M0092,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0093,M0093,CARGAS EXPLOSIVAS DE SEPARACIÓN (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0094,M0094,REMACHES EXPLOSIVOS
cfd_mx_traslado.cartaporte_materialpeligroso_M0095,M0095,COHETES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0096,M0096,COHETES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0097,M0097,COHETES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0098,M0098,COHETES con cabeza inerte (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0099,M0099,MOTORES DE COHETE (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0100,M0100,"MUESTRAS DE EXPLOSIVOS, excepto los explosivos iniciadores (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0101,M0101,ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0102,M0102,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0103,M0103,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0104,M0104,SEÑALES DE SOCORRO para barcos (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0105,M0105,SEÑALES DE SOCORRO para barcos (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0106,M0106,SEÑALES FUMÍGENAS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0107,M0107,SEÑALES FUMÍGENAS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0108,M0108,CARGAS EXPLOSIVAS PARA SONDEOS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0109,M0109,TETRANITROANILINA (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0110,M0110,TRINITROFENILMETILNITRAMI NA (TETRILO) (Producto o material explosivo)
